SNOMED_ConceptId,ConceptId_Description,LTC_Category,Resolved
6497000,Decreased body mass index (finding),BMI codes,0
35425004,Normal body mass index (finding),BMI codes,0
60621009,Body mass index (observable entity),BMI codes,0
162690006,On examination - obese (finding),BMI codes,0
162764001,On examination - weight greater than 20% below ideal (finding),BMI codes,0
162765000,On examination - weight 10-20% below ideal (finding),BMI codes,0
162769006,On examination - Underweight (finding),BMI codes,0
162863004,Body mass index 25-29 - overweight (finding),BMI codes,0
162864005,Body mass index 30+ - obesity (finding),BMI codes,0
190966007,Extreme obesity with alveolar hypoventilation (disorder),BMI codes,0
238131007,Overweight (finding),BMI codes,0
248342006,Underweight (finding),BMI codes,0
268915006,On examination - weight 10-20% over ideal (finding),BMI codes,0
268916007,On examination - weight greater than 20% over ideal (finding),BMI codes,0
275947003,On examination - overweight (finding),BMI codes,0
310252000,Body mass index less than 20 (finding),BMI codes,0
408512008,Body mass index 40+ - severely obese (finding),BMI codes,0
412768003,Body mass index 20-24 - normal (finding),BMI codes,0
414915002,Obese (finding),BMI codes,0
8.46931E+14,Baseline body mass index (observable entity),BMI codes,0
9.14721E+14,Obese class I (body mass index 30.0 - 34.9) (finding),BMI codes,0
9.14731E+14,Obese class II (body mass index 35.0 - 39.9) (finding),BMI codes,0
9.14741E+14,Obese class III (body mass index equal to or greater than 40.0) (finding),BMI codes,0
1755008,Old myocardial infarction (disorder),Chronic heart disease,0
4557003,Preinfarction syndrome (disorder),Chronic heart disease,0
5370000,Atrial flutter (disorder),Chronic heart disease,0
10335000,Chronic right-sided heart failure (disorder),Chronic heart disease,0
10633002,Acute congestive heart failure (disorder),Chronic heart disease,0
15990001,Acute myocardial infarction of posterolateral wall (disorder),Chronic heart disease,0
19057007,Status anginosus (disorder),Chronic heart disease,0
21470009,Syncope anginosa (disorder),Chronic heart disease,0
22298006,MI - myocardial infarction,Chronic heart disease,0
25106000,Impending infarction (disorder),Chronic heart disease,0
32413006,Transplantation of heart (procedure),Chronic heart disease,0
35928006,Nocturnal angina (disorder),Chronic heart disease,0
42343007,Congestive heart failure (disorder),Chronic heart disease,0
42402006,Kartagener syndrome (disorder),Chronic heart disease,0
42531007,Microinfarct of heart (disorder),Chronic heart disease,0
43736008,Rheumatic left ventricular failure (disorder),Chronic heart disease,0
46109009,Subendocardial ischemia (disorder),Chronic heart disease,0
48447003,Chronic heart failure (disorder),Chronic heart disease,0
49436004,Atrial fibrillation (disorder),Chronic heart disease,0
52035003,Acute anteroapical myocardial infarction (disorder),Chronic heart disease,0
